,H,I,O
1971-03-02,337.01527179892565,252.21532673468948,281.92771234195817
1971-03-03,337.0091460967219,229.17890236884318,282.9865801524712
1971-03-04,337.0025900404746,217.31446629885838,282.1222137927295
1971-03-05,336.99169284666436,183.2862757452053,283.039429785573
1971-03-06,336.9837162871217,188.98956302754416,282.9843549011798
1971-03-07,336.9773533675236,201.98869770063422,282.9554872903824
1971-03-08,336.97154919045494,211.05134202753536,282.96614708912784
1971-03-09,336.96579945986645,215.07676323199692,281.1516034893305
1971-03-10,336.96148824316526,225.3701070518766,282.8106916335819
1971-03-11,336.9560998552196,223.3602750815406,282.0747051084324
1971-03-12,336.9524730908508,233.96454490313147,285.63538395917686
1971-03-13,336.9472256396828,229.42054499754215,283.2362384314175
1971-03-14,336.94813382377595,266.9350884191038,282.8951512068639
1971-03-15,336.9424184177845,238.41522941996345,281.25380361974123
1971-03-16,336.93588847634214,220.5688663996269,285.6610511407981
1971-03-17,336.92928161726,214.89948545872014,283.24213215667083
1971-03-18,336.925313831959,228.69260868362878,282.9744789519408
1971-03-19,336.91786692350365,211.26514524144773,283.0557750498615
1971-03-20,336.9111250954859,208.750212929669,283.0130379871946
1971-03-21,336.9026295960923,196.09356425922022,283.04315576371073
1971-03-22,336.89497643567546,196.57627364931403,285.75028440575625
1971-03-23,336.88627036707163,191.13278070090806,283.2488691070318
1971-03-24,336.8817897616722,215.461134155324,282.9400326128638
1971-03-25,336.8767054603996,221.38237086201775,282.9752900871706
1971-03-26,336.8733188279745,235.07587284053866,282.95241906877646
1971-03-27,336.8682662325131,229.72401367958406,283.0137932308556
1971-03-28,336.86012606585246,207.08391389234896,282.160307939289
1971-03-29,336.8486069926659,174.76933071396346,279.3725750131717
1971-03-30,336.8405826294232,183.1706678380499,282.6676994736559
1971-03-31,336.83346475186767,193.89814722303868,272.8594855377207
1971-04-01,336.8321276129635,231.55391398946315,277.44351379860467
1971-04-02,336.8325295063081,261.1165661874637,277.8550594367205
1971-04-03,336.8310128501675,260.8556394195791,277.0726159279261
1971-04-04,336.826132388307,238.09130626578906,277.08174578463877
1971-04-05,336.8199100609199,219.79633583205458,277.06765888321934
1971-04-06,336.81571677925257,225.4805107990248,274.2385197938765
1971-04-07,336.8080832349605,203.712922893696,276.8406218009459
1971-04-08,336.8011489468284,200.71916816442086,276.99657555467746
1971-04-09,336.79485060378533,203.71940802953512,276.0736528625115
1971-04-10,336.7978869402735,266.30935928951016,278.54644296665583
1971-04-11,336.8044841730295,316.87054328657325,274.2134664829243
1971-04-12,336.81634380857423,370.26662927858325,273.8404613949352
1971-04-13,336.83701135662096,450.452835563476,274.63621994315736
1971-04-14,336.8596712596481,497.2680138587619,274.813894403712
